% ============================================================
% Dataset: Propiedades inmobiliarias Colombia
% Objetivo: Predecir precio segun caracteristicas fisicas
% Generado para: Mineria de Datos - Regresion Lineal (Weka)
% Registros: 250 propiedades
% ============================================================

@RELATION propiedades_colombia

% --- Atributos predictores ---
@ATTRIBUTE habitaciones    NUMERIC
@ATTRIBUTE wc              NUMERIC
@ATTRIBUTE estacionamiento NUMERIC
@ATTRIBUTE metrosCuadrados NUMERIC
@ATTRIBUTE ciudad          {Cartagena,Bogota,Medellin,Barranquilla}

% --- Variable objetivo (a predecir) ---
@ATTRIBUTE precio          NUMERIC

@DATA
2,2,1,81.6,Cartagena,438000000
2,2,2,40.9,Cartagena,191000000
4,4,1,117.5,Medellin,382000000
4,4,1,139.3,Cartagena,771000000
3,3,3,119.0,Cartagena,597000000
1,1,2,47.8,Bogota,244000000
4,4,0,178.9,Medellin,862000000
1,1,1,64.2,Barranquilla,281000000
4,2,2,132.7,Cartagena,593000000
5,5,1,206.2,Bogota,843000000
4,1,1,173.1,Barranquilla,573000000
3,1,1,135.9,Bogota,654000000
3,2,1,103.2,Cartagena,455000000
5,3,1,139.9,Cartagena,697000000
5,1,2,168.1,Medellin,885000000
2,2,1,90.9,Barranquilla,313000000
3,2,1,113.7,Barranquilla,452000000
4,2,1,168.7,Barranquilla,706000000
4,1,2,136.7,Cartagena,767000000
4,4,1,100.3,Bogota,610000000
3,3,1,122.5,Medellin,486000000
3,3,1,101.0,Cartagena,539000000
4,3,1,129.9,Bogota,569000000
4,2,2,145.7,Medellin,677000000
4,1,1,161.8,Barranquilla,536000000
3,2,1,97.9,Medellin,317000000
4,2,1,165.3,Barranquilla,604000000
5,1,1,179.4,Cartagena,675000000
3,3,2,109.5,Barranquilla,387000000
3,2,2,98.7,Medellin,478000000
4,4,1,143.5,Cartagena,833000000
3,3,2,124.0,Medellin,594000000
4,1,1,131.1,Bogota,712000000
3,1,2,115.9,Cartagena,499000000
3,3,2,134.0,Cartagena,646000000
4,2,1,138.7,Medellin,714000000
4,4,3,166.5,Bogota,805000000
3,1,0,77.8,Barranquilla,356000000
3,2,1,92.5,Cartagena,602000000
3,1,1,114.0,Cartagena,531000000
4,1,2,154.7,Barranquilla,591000000
2,2,2,73.1,Cartagena,385000000
2,2,3,79.1,Medellin,301000000
2,1,3,47.2,Cartagena,258000000
2,2,2,87.4,Bogota,551000000
4,4,2,129.9,Cartagena,767000000
3,1,2,118.1,Bogota,538000000
4,4,1,113.3,Barranquilla,469000000
4,4,1,140.1,Bogota,601000000
3,3,1,87.2,Barranquilla,396000000
3,3,1,122.4,Bogota,744000000
4,3,1,129.0,Cartagena,643000000
3,2,2,99.9,Cartagena,453000000
3,3,2,104.9,Medellin,593000000
3,3,1,97.6,Bogota,508000000
3,2,1,112.8,Cartagena,494000000
3,1,2,108.6,Bogota,610000000
2,1,3,56.8,Cartagena,317000000
2,1,1,64.8,Cartagena,351000000
3,3,1,135.3,Cartagena,710000000
2,2,3,99.0,Bogota,542000000
3,2,2,82.0,Bogota,536000000
6,3,1,245.2,Cartagena,1322000000
3,3,2,120.8,Cartagena,669000000
3,3,1,117.6,Cartagena,727000000
2,1,3,92.6,Medellin,354000000
3,2,2,145.4,Medellin,542000000
4,4,2,127.0,Cartagena,632000000
4,3,1,133.8,Cartagena,671000000
4,4,1,184.9,Cartagena,1076000000
3,1,3,106.6,Medellin,455000000
3,3,3,125.1,Cartagena,776000000
5,4,1,155.1,Bogota,899000000
3,3,1,148.5,Barranquilla,523000000
2,2,1,106.0,Bogota,490000000
4,4,1,164.8,Bogota,828000000
3,1,1,70.3,Bogota,326000000
2,2,2,86.8,Bogota,484000000
3,2,3,133.0,Bogota,603000000
3,3,1,108.4,Cartagena,706000000
3,2,1,135.0,Barranquilla,480000000
3,3,1,117.7,Barranquilla,422000000
4,4,3,130.7,Cartagena,704000000
3,3,1,108.4,Bogota,580000000
3,3,0,113.0,Medellin,378000000
6,6,2,221.2,Medellin,965000000
5,3,2,185.2,Cartagena,809000000
1,1,1,51.5,Bogota,246000000
3,3,2,137.3,Bogota,511000000
5,5,2,172.4,Barranquilla,495000000
2,2,3,119.1,Cartagena,609000000
4,1,1,127.1,Bogota,421000000
3,3,1,114.8,Cartagena,667000000
2,1,2,63.6,Medellin,370000000
2,2,2,57.3,Bogota,345000000
5,5,1,213.1,Barranquilla,958000000
3,3,2,97.7,Barranquilla,445000000
2,2,1,35,Barranquilla,150000000
3,1,3,112.9,Cartagena,423000000
3,3,1,119.6,Barranquilla,534000000
3,1,1,89.5,Medellin,439000000
5,3,2,174.8,Medellin,835000000
3,3,2,112.4,Bogota,727000000
4,3,2,134.2,Bogota,675000000
4,4,3,148.4,Medellin,603000000
3,1,1,100.1,Medellin,359000000
2,1,1,51.0,Bogota,208000000
2,1,2,55.7,Cartagena,337000000
2,1,1,77.0,Bogota,381000000
3,3,2,111.9,Barranquilla,304000000
4,1,2,106.6,Bogota,413000000
2,2,3,91.6,Cartagena,470000000
5,5,1,159.6,Medellin,764000000
2,1,2,82.6,Cartagena,426000000
6,6,1,228.9,Medellin,1102000000
4,2,1,167.8,Cartagena,1011000000
6,5,1,211.4,Cartagena,1237000000
3,2,1,129.6,Cartagena,639000000
3,1,1,118.2,Cartagena,474000000
2,2,0,94.3,Cartagena,320000000
3,1,0,93.9,Bogota,450000000
4,4,0,165.9,Medellin,778000000
3,3,1,100.3,Cartagena,480000000
2,2,1,62.9,Bogota,247000000
3,2,1,123.4,Bogota,508000000
3,3,1,140.0,Medellin,780000000
2,1,2,78.6,Cartagena,440000000
3,1,1,147.4,Cartagena,520000000
5,5,1,188.9,Bogota,994000000
2,1,1,76.7,Cartagena,381000000
4,4,3,153.5,Cartagena,646000000
3,3,0,109.1,Bogota,649000000
1,1,1,49.0,Barranquilla,226000000
2,2,1,70.0,Bogota,383000000
4,4,1,150.6,Bogota,681000000
4,3,1,117.7,Medellin,592000000
4,1,1,165.1,Bogota,868000000
4,1,1,148.7,Bogota,688000000
4,3,1,159.1,Cartagena,868000000
3,2,1,132.1,Bogota,475000000
3,3,3,131.0,Cartagena,580000000
3,3,0,97.7,Bogota,586000000
2,1,1,65.3,Bogota,300000000
4,2,1,153.8,Bogota,833000000
2,2,1,113.8,Cartagena,523000000
2,1,1,105.3,Cartagena,616000000
3,3,2,135.2,Cartagena,582000000
4,3,1,161.7,Barranquilla,673000000
3,3,1,105.9,Cartagena,623000000
2,1,2,63.7,Cartagena,352000000
3,2,1,102.7,Bogota,509000000
4,3,3,166.9,Cartagena,936000000
6,5,1,208.5,Cartagena,1146000000
4,4,0,129.7,Cartagena,578000000
4,3,1,172.8,Cartagena,573000000
3,2,3,103.2,Bogota,651000000
3,1,1,88.7,Medellin,482000000
2,2,1,73.7,Medellin,386000000
3,3,1,125.6,Cartagena,623000000
3,1,2,133.8,Cartagena,563000000
2,2,2,90.4,Bogota,421000000
3,2,3,88.3,Bogota,404000000
3,3,3,123.3,Medellin,400000000
6,4,2,202.2,Cartagena,830000000
4,4,1,142.0,Bogota,837000000
5,5,2,179.7,Barranquilla,662000000
3,2,2,150.8,Medellin,778000000
5,4,0,155.3,Medellin,679000000
2,2,3,101.4,Barranquilla,359000000
1,1,2,78.1,Medellin,427000000
5,1,1,182.8,Bogota,704000000
3,3,1,124.6,Medellin,597000000
3,1,2,89.2,Bogota,459000000
2,1,1,104.7,Bogota,492000000
4,1,1,110.3,Bogota,691000000
3,3,2,133.0,Bogota,677000000
3,1,1,111.0,Bogota,417000000
2,2,1,90.8,Medellin,375000000
6,4,2,200.7,Medellin,850000000
1,1,0,59.8,Medellin,270000000
3,3,1,114.3,Barranquilla,421000000
4,3,1,148.5,Bogota,599000000
4,4,1,153.9,Bogota,893000000
3,1,2,137.9,Bogota,718000000
3,1,0,104.9,Medellin,399000000
2,2,1,125.0,Bogota,627000000
3,1,0,101.7,Bogota,422000000
5,2,2,160.6,Medellin,615000000
4,3,1,146.9,Cartagena,715000000
5,3,1,179.6,Cartagena,906000000
3,2,3,126.7,Bogota,645000000
2,2,2,92.1,Bogota,560000000
2,1,2,45.1,Medellin,277000000
4,3,2,135.6,Bogota,550000000
4,2,2,131.8,Cartagena,668000000
2,2,0,67.9,Cartagena,327000000
2,1,0,60.5,Medellin,312000000
4,4,0,170.2,Bogota,755000000
3,2,2,130.3,Bogota,713000000
3,3,1,100.1,Barranquilla,509000000
4,1,1,125.3,Cartagena,530000000
3,1,1,137.3,Cartagena,860000000
4,4,1,147.2,Cartagena,719000000
1,1,2,60.2,Barranquilla,228000000
4,4,1,164.1,Bogota,742000000
3,1,2,125.3,Medellin,631000000
3,3,2,88.9,Bogota,665000000
2,2,1,97.7,Cartagena,520000000
2,1,0,123.6,Cartagena,511000000
4,4,2,146.3,Bogota,784000000
3,3,1,130.9,Barranquilla,561000000
2,2,0,80.7,Bogota,461000000
